Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:20:46
============================================================
Порт    82: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт    81: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт    80: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт    79: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт    78: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт    77: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт    76: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт    75: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт    74: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт    73: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт    72: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт    71: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт    70: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт    69: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт    68: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт    67: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт    66: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт    65: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт    64: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт    63: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт    62: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт    61: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт    60: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт    59: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт    58: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт    57: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт    56: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт    55: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт    54: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт    53: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
